chartName,category,img,avail,description
bar-diverging,Deviation,bar-diverging.svg,TRUE,A simple standard bar chart that can handle both negative and positive magnitude values
bar-diverging-stacked,Deviation,bar-diverging-stacked.svg,TRUE,"Perfect for presenting survey results which involve sentiment (eg disagree, neutral, agreed"
spine-chart,Deviation,spine.svg,TRUE,Splits a single value into 2 contrasting components (eg Male/Female)
line-surplus-deficit-filled,Deviation,line-surplur-defecit-fill.svg,FALSE,The shaded area of these charts allows a balance to be shown;  either against a baseline or between two serie
scatterplot,Correlation,scatterplot.svg,TRUE,"The standard way to show the relationship between two variables, each of which has its own axis"
line-column,Correlation,line-column.svg,TRUE,A good way of showing the relationship between an amount (columns) and a rate (line)
scatterplot-connected,Correlation,scatterplot-connected.svg,TRUE,Usually used to show how the relationship between 2 variables has changed over time
Bubble,Correlation,bubble.svg,TRUE,"Like a scatterplot, but adds additional detail by sizing the circles according to a third variable"
XY-heatmap,Correlation,XY-heatmap.svg,TRUE,"A good way of showing the patterns between 2 categories of data, less good at showing fine differences in amounts"
라인(Line),Change v Time,line.svg,TRUE,"시계열의 변화를 보여주는 일반적인 방법. 데이터가 고르지 않은 경우, 데이터 포인트를 표시하는 마커를 사용할 수 있다."
세로형 막대 타임라인(column-timeline),Change v Time,column-timeline.svg,TRUE,"세로형 막대는 시간에 따른 변화를 잘 보여주지만 대개 한번에 한 가지의 연속된 데이터를 표시하는 것이 가장 좋다."
막대와 꺾은선 타임라인(column-line-timeline),Change v Time,column-line-timeline.svg,TRUE,"시간에 따른 양(막대)과 비율(꺾은선)의 변화의 관계를 표현하기에 적합한 방법이다."
주가 차트(stock-price),Change v Time,stock-price.svg,FALSE,"보통 매일매일에 대한것으로 일별 시가/종가, 최저/최고가를 나타낸다."
기울기 차트(slope),Change v Time,slope-timeline.svg,TRUE,"데이터의 핵심 스토리를 유지하면서 2-3개 포인트로 단순화가 가능한 경우에 한해서, 변화를 표시하기 좋다"
면적 차트(area),Change v Time,area.svg,TRUE,"주의해서 사용해야 한다. 총량의 변화를 보여주기 용이하지만 구성요소들의 변화를 보여주기에 매우 어렵기 때문이다."
부채형 차트(fan),Change v Time,fan.svg,FALSE,"미래 예측의 불확실성을 보여주기 위해 사용하며 보통은 먼 예측일수록 폭이 크다."
산점도와 꺾은선 타임라인(scatterplot-line-timeline),Change v Time,scatterplot-line-timeline.svg,FALSE,"진행 패턴이 상대적으로 명확한 경우 두 변수의 데이터 변화를 보여주기에 좋은 방법이다. 연결된 산점도라고 할 수 있다."
calendar-heatmap,Change v Time,calendar-heatmap.svg,TRUE,"정확한 양을 보여주지 못하는 대신에, 시간적 패턴(일간, 주간, 월간)을 보여주는 좋은 방법."
프리스틀리 연표(priestley timeline),Change v Time,priestley-timeline.svg,TRUE,"날짜와 지속기간이 데이터 스토리의 핵심 요소일 경우 유용하다."
원 집합 타임라인(circles-timeline),Change v Time,circle-timeline.svg,TRUE,"여러 범주에 걸친 다양한 크기의 불연속 값을 보여주는 좋은 방법이다.(예: 각 대륙의 지진들)"
"지진기록,진동도(seismogram)",Change v Time,seismogram.svg,FALSE,"데이터의 변화가 큰 경우 원 집합 타임라인을 대체할 수 있는 방법이다."
bar-ordered,Ranking,bar-ordered.svg,TRUE,Standard bar charts display the ranks of values much more easily when sorted into order
column-ordered,Ranking,column-ordered.svg,TRUE,Standard column charts display the ranks of values much more easily when sorted into order
symbol-proportional-ordered,Ranking,symbol-proportional-ordered.svg,FALSE,Use when there are big variations between values and/or seeing fine differences between data is not so important.
dot-plot-strip,Ranking,dot-plot-strip.svg,FALSE,Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories.
slope,Ranking,slope-ranking.svg,TRUE,Perfect for showing how ranks have changed over time or vary between categories.
lollipop-h,Ranking,lollipop-h.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
